Name,guesstimate,
Democratic Party,-2.1247912,
Republican Party,2.1103434,
Donald Trump,2.7764793,
Supreme Court,1.0276603,
Beto O'Rourke,-3.0365406,
Sherrod Brown,-2.4106364,
Kyrsten Sinema,-2.4476755,
"Bob Casey, Jr.",-2.0032746,
Phil Bredesen,-1.5891416,
Bill Nelson,-2.1306116,
Amy Klobuchar,-2.3877157,
Debbie Stabenow,-2.4620127,
Chris Murphy,-2.8724399,
Jane Raybould,-2.0159624,
Dianne Feinstein,-2.3590119,
Tim Kaine,-2.4727551,
Kirsten Gillibrand,-2.6207969,
Ben Cardin,-2.3279948,
Maria Cantwell,-2.5049227,
Joe Donnelly,-1.600448,
Elizabeth Warren,-3.7687202,
Bob Menendez,-2.4085244,
Heidi Heitkamp,-1.9190926,
Claire McCaskill,-2.5291481,
Gary Trauner,-1.4696091,
Jacky Rosen,-2.6004189,
Jon Tester,-2.0193445,
Tammy Baldwin,-3.0087219,
Sheldon Whitehouse,-2.4054786,
Angus King,-1.7640217,
Jenny Wilson,-1.7673098,
David Baria,-1.373533,
Joe Manchin,-1.0108876,
Martin Heinrich,-2.4112397,
Tom Carper,-2.1776976,
Mazie Hirono,-3.0386317,
Bernie Sanders,-4.381502,
Ted Cruz,3.7688917,
Jim Renacci,2.1403833,
Martha McSally,2.5402586,
Lou Barletta,2.5529078,
Marsha Blackburn,3.0652543,
Rick Scott,2.6061574,
Jim Newberger,1.8117072,
John James,2.1920532,
Matthew Corey,1.0104864,
Deb Fischer,2.8183648,
Kevin de Leon,-2.5998857,
Corey Stewart,3.1620973,
Chele Chiavacci Farley,0.3403201,
Tony Campbell,0.7285425,
Susan Hutchison,2.0434326,
Mike Braun,2.5865149,
Geoff Diehl,1.8781701,
Robert Hugin,1.8486841,
Kevin Cramer,3.4008012,
Josh Hawley,2.4519734,
John Barrasso,2.9356021,
Dean Heller,2.1398992,
Matt Rosendale,2.8655229,
Leah Vukmir,2.6670521,
Robert Flanders,1.6114698,
Eric Brakey,2.0187886,
Mitt Romney,1.7647055,
Roger Wicker,2.5050156,
Patrick Morrisey,2.44242,
Mick Rich,1.8992388,
Robert Arlett,2.3771028,
Ron Curtis,0.8614035,
Lawrence Zupan,1.4810982,
Tina Smith,-2.23217,
Mike Espy,-2.064316,
Karin Housley,2.2286809,
Cindy Hyde-Smith,2.2942952,
John Cornyn,2.2771655,
